iter	Passed	Remaining
919	2041	177
920	2043	175
921	2044	172
922	2046	170
923	2048	168
924	2050	166
925	2052	164
926	2054	161
927	2056	159
928	2058	157
929	2061	155
930	2063	152
931	2065	150
932	2067	148
933	2070	146
934	2072	144
935	2074	141
936	2076	139
937	2078	137
938	2080	135
939	2082	132
940	2085	130
941	2087	128
942	2089	126
943	2091	124
944	2093	121
945	2096	119
946	2098	117
947	2100	115
948	2102	113
949	2105	110
950	2107	108
951	2109	106
952	2111	104
953	2113	101
954	2115	99
955	2117	97
956	2119	95
957	2121	93
958	2123	90
959	2126	88
960	2128	86
961	2130	84
962	2132	81
963	2134	79
964	2136	77
965	2138	75
966	2141	73
967	2143	70
968	2145	68
969	2147	66
970	2149	64
971	2151	61
972	2154	59
973	2156	57
974	2158	55
975	2161	53
976	2163	50
977	2165	48
978	2167	46
979	2171	44
980	2173	42
981	2176	39
982	2178	37
983	2180	35
984	2182	33
985	2185	31
986	2187	28
987	2189	26
988	2192	24
989	2194	22
990	2196	19
991	2198	17
992	2200	15
993	2202	13
994	2204	11
995	2206	8
996	2209	6
997	2211	4
998	2213	2
999	2217	0
